,,,,,,,,,,,,,,,,,,,,,,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
,,,,,,,,,,,,,,,,,,,,,,NATIVE,ASIAN,BLACK,PACIFIC ISLANDER,WHITE,MULTI,UNK /,HISPANIC,NON,UNK /,WITH,W/ ONLY
County,Post Office Location,Zip Code,Total  SNAP Households, Average Monthly SNAP Benefit per Household , Total Benefits Distributed 12/13 ,Total SNAP Recipients,Recipients 0-17,Recipients 18-64,Recipients 65+,Total Income-Eligible Individuals,Income-Eligible 0-17,Income-Eligible 18-64,Income-Eligible 65+,Total Income-Eligible but not Receiving ,Income-Eligible but not Receiving 0-17,Income-Eligible but not Receiving  18-64,Income-Eligible but not Receiving 65+,Total Participation Rate,Participation Rate 0-17,Participation Rate 18-64,Participation Rate 65+,AMERICAN,,,,,RACE,MISSING,,HISPANIC,MISSING,EARNED $,EARNED $
Starr,Garciasville,78547,399, $234.23 ," $93,457.00 ",976,470,365,141,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0,0,0.002272727,0,0.184090909,0,0.813636364,0.95,0.009090909,0.040909091,0.60483871,0.508064516
Starr,Grulla,78548,399, $226.41 ," $90,337.00 ",919,446,322,151,376,163,160,54,0,0,0,0,100%,100%,100%,100%,0,0.002699055,0.001349528,0,0.241565452,0,0.754385965,0.954116059,0.008097166,0.037786775,0.460176991,0.398230088
Starr,Rio Grande City,78582,4630, $255.04 ," $1,180,842.00 ",11274,5948,3860,1466,21240,8607,10844,1789,9966,2659,6984,323,53%,69%,36%,82%,0.001623486,0.000473517,0.002232294,0.000473517,0.261990124,0.000338226,0.732936481,0.945274978,0.00757627,0.047216397,0.546479521,0.453060285
Starr,Santa Elena,78591,11, $214.73 ," $2,362.00 ",30,18,10,2,66,7,16,43,47,0,6,41,46%,100%,63%,5%,0,0,0,0,0.339285714,0,0.660714286,0.928571429,0.035714286,0.035714286,0.5625,0.4375
Starr,Roma,78584,3054, $244.97 ," $748,144.00 ",6995,3488,2280,1227,10590,4214,4972,1403,3594,726,2692,176,66%,83%,46%,87%,0.000745805,0.000621504,0.001118707,0.000124301,0.296457427,0,0.700932256,0.950528278,0.008328154,0.041267868,0.587510271,0.503286771
Starr,San Isidro,78588,23, $205.00 ," $4,715.00 ",47,26,14,7,21,0,4,16,9,0,0,9,100%,0%,100%,43%,0.014285714,0,0,0,0.242857143,0,0.742857143,0.942857143,0.014285714,0.042857143,0.5,0.409090909
Starr,Falcon Heights,78545,87, $234.74 ," $20,422.00 ",201,101,66,34,180,60,76,44,20,0,10,10,100%,100%,87%,77%,0,0,0,0,0.311827957,0,0.688172043,0.940860215,0,0.059139785,0.529411765,0.450980392
Starr,Salineno,78585,55, $269.75 ," $14,836.00 ",138,77,43,18,30,0,30,0,0,0,0,0,100%,0%,100%,0%,0,0,0,0,0.343065693,0,0.656934307,0.905109489,0.00729927,0.080291971,0.487179487,0.461538462
Stephens,Breckenridge,76424,507, $221.55 ," $112,324.00 ",1147,530,531,86,2025,685,1055,285,878,155,524,199,57%,77%,50%,30%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Stephens,Caddo,76429,7, $140.29 , $982.00 ,17,8,8,1,2,0,0,2,1,0,0,1,100%,0%,0%,46%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sterling,Sterling City,76951,29, $195.69 ," $5,675.00 ",62,33,23,6,281,85,147,48,218,52,124,42,22%,39%,16%,12%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Stonewall,Aspermont,79502,50, $221.46 ," $11,073.00 ",121,62,49,10,199,73,73,53,78,11,24,43,61%,85%,67%,19%,0,0.033613445,0.084033613,0,0.512605042,0,0.378151261,0.336134454,0.596638655,0.067226891,0.536585366,0.487804878
Sutton,Sonora,76950,148, $264.86 ," $39,199.00 ",386,201,141,44,436,130,139,166,122,0,0,122,89%,100%,100%,27%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sutton,Roosevelt,76874,1, $136.00 , $136.00 ,1,0,1,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swisher,Tulia,79088,349, $288.56 ," $100,709.00 ",949,515,355,79,1524,539,791,195,576,24,436,116,62%,96%,45%,41%,0.002690583,0,0.117488789,0.000896861,0.353363229,0,0.525560538,0.614349776,0.314798206,0.070852018,0.464387464,0.441595442
Swisher,Happy,79042,5, $169.60 , $848.00 ,16,9,7,0,262,90,149,23,246,81,142,23,6%,10%,5%,0%,0,0,0,0,0.8,0,0.215384615,0.246153846,0.707692308,0.061538462,0.4,0.4
