County,Post Office Location,Zip Code,Total  SNAP Households, Average Monthly SNAP Benefit per Household , Total Benefits Distributed 12/13 ,Total SNAP Recipients,Average Benefit per Recipient,Average Benefit per Meal ,Recipients 0-17,Recipients 18-64,Recipients 65+,Total Income-Eligible Individuals,Income-Eligible 0-17,Income-Eligible 18-64,Income-Eligible 65+,Total Income-Eligible but not Receiving ,Income-Eligible but not Receiving 0-17,Income-Eligible but not Receiving  18-64,Income-Eligible but not Receiving 65+,Total Participation Rate,Participation Rate 0-17,Participation Rate 18-64,Participation Rate 65+
Bell,Killeen,76547,33, $271.18 ," $8,949.00 ",73, $122.59 , $1.36 ,34,37,2,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bell,Killeen,76541,1862, $260.94 ," $485,862.00 ",4315, $112.60 , $1.25 ,2219,1951,145,6890,2466,4015,408,2574,247,2064,263,63%,90%,49%,35%
Bell,Troy,76579,163, $269.96 ," $44,004.00 ",448, $98.22 , $1.09 ,235,192,21,789,314,320,155,341,79,128,134,57%,75%,60%,14%
Bell,Killeen,76540,71, $266.20 ," $18,900.00 ",169, $111.83 , $1.24 ,92,69,8,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bell,Harker Heights,76548,984, $281.97 ," $277,461.00 ",2486, $111.61 , $1.24 ,1325,1089,72,4898,2124,2555,219,2412,799,1466,147,51%,62%,43%,33%
Bell,Temple,76502,934, $280.81 ," $262,276.00 ",2333, $112.42 , $1.25 ,1237,1006,90,3553,978,2002,573,1479,0,996,483,66%,100%,50%,16%
Bell,Heidenheimer,76533,10, $303.90 ," $3,039.00 ",21, $144.71 , $1.61 ,10,10,1,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78204,1044, $244.16 ," $254,898.00 ",2327, $109.54 , $1.22 ,1202,889,236,5495,1810,2918,766,3167,608,2029,530,42%,66%,30%,31%
Bexar,San Antonio,78248,65, $213.38 ," $13,870.00 ",132, $105.08 , $1.17 ,63,53,16,755,168,522,65,623,105,469,49,17%,38%,10%,25%
Bexar,Saint Hedwig,78152,51, $290.37 ," $14,809.00 ",119, $124.45 , $1.38 ,60,55,4,293,97,183,13,174,37,128,9,41%,62%,30%,31%
Bexar,San Antonio,78233,1951, $266.10 ," $519,156.00 ",4959, $104.69 , $1.16 ,2656,2040,263,9943,4391,4834,718,4984,1735,2794,455,50%,60%,42%,37%
Bexar,San Antonio,78215,97, $156.33 ," $15,164.00 ",127, $119.40 , $1.33 ,26,85,16,376,18,354,5,269,0,269,0,34%,100%,24%,100%
Bexar,San Antonio,78234,21, $279.43 ," $5,868.00 ",56, $104.79 , $1.16 ,31,21,4,582,364,218,0,530,333,197,0,10%,9%,10%,0%
Bexar,San Antonio,78203,939, $274.27 ," $257,538.00 ",2268, $113.55 , $1.26 ,1191,935,142,3771,1658,1641,472,1503,467,706,330,60%,72%,57%,30%
Bexar,San Antonio,78246,16, $147.63 ," $2,362.00 ",24, $98.42 , $1.09 ,7,10,7,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78261,118, $282.42 ," $33,325.00 ",298, $111.83 , $1.24 ,157,130,11,262,56,156,50,65,0,26,39,100%,100%,83%,22%
Bexar,San Antonio,78238,1523, $254.50 ," $387,601.00 ",3615, $107.22 , $1.19 ,1884,1509,222,6463,2484,3558,422,2849,600,2049,200,56%,76%,42%,53%
Bexar,San Antonio,78247,1041, $272.05 ," $283,199.00 ",2590, $109.34 , $1.21 ,1341,1118,131,5425,1765,3359,301,2835,424,2241,170,48%,76%,33%,44%
Bexar,San Antonio,78201,4481, $239.34 ," $1,072,471.00 ",9746, $110.04 , $1.22 ,4828,4036,882,14038,4962,7528,1548,4292,134,3492,666,69%,97%,54%,57%
Bexar,San Antonio,78268,11, $204.18 ," $2,246.00 ",21, $106.95 , $1.19 ,7,12,2,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78213,2645, $268.05 ," $708,985.00 ",6476, $109.48 , $1.22 ,3545,2553,378,12874,4942,6837,1095,6398,1397,4284,717,50%,72%,37%,35%
Bexar,San Antonio,78249,1115, $260.37 ," $290,317.00 ",2628, $110.47 , $1.23 ,1268,1219,141,9505,1461,7549,494,6876,193,6330,353,28%,87%,16%,29%
Bexar,San Antonio,78210,4113, $263.99 ," $1,085,808.00 ",9863, $110.09 , $1.22 ,5198,4017,648,14960,5198,8255,1507,5097,0,4238,859,66%,100%,49%,43%
Bexar,San Antonio,78205,153, $94.42 ," $14,446.00 ",186, $77.67 , $0.86 ,30,79,77,625,0,331,294,469,0,252,217,30%,0%,24%,26%
Bexar,San Antonio,78236,7, $409.71 ," $2,868.00 ",28, $102.43 , $1.14 ,19,9,0,180,101,78,0,151,82,69,0,16%,19%,11%,0%
Bexar,San Antonio,78269,24, $258.75 ," $6,210.00 ",58, $107.07 , $1.19 ,30,24,4,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78265,52, $234.04 ," $12,170.00 ",102, $119.31 , $1.33 ,42,57,3,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bexar,San Antonio,78216,1998, $248.26 ," $496,022.00 ",4483, $110.65 , $1.23 ,2348,1848,287,9492,2831,5618,1042,5008,483,3770,755,47%,83%,33%,28%
Bexar,San Antonio,78212,2163, $204.12 ," $441,512.00 ",4156, $106.23 , $1.18 ,1783,1828,545,8432,2192,5043,1197,4276,409,3215,652,49%,81%,36%,46%
